epsilon,run_number,original_density,baseline2_density,baseline2_similarity,baseline2_time,ratio_baseline2,baseline3_density,baseline3_similarity,baseline3_time,ratio_baseline3,our_density,our_similarity,our_time,ratio_our
1,1,76.73134328358209,21.281725888324875,0.05101522842639594,306.6051754951477,0.2773537511219153,0.0,0.004975124378109453,2.8450400829315186,0.0,76.43718592964824,0.9704433497536946,136.08558654785156,0.9961663990053359
1,2,76.73134328358209,20.208039906103288,0.05557180462123428,304.56352257728577,0.263360955788547,42.38823529411765,0.5020242914979757,2.937290906906128,0.5524239962470108,76.43718592964824,0.9704433497536946,131.73707699775696,0.9961663990053359
1,3,76.73134328358209,21.089986648865153,0.053109153989858555,308.94240617752075,0.2748549125605846,38.03333333333333,0.4377358490566038,6.264019727706909,0.4956688063282111,76.43718592964824,0.9704433497536946,129.90726733207703,0.9961663990053359
1,4,76.73134328358209,20.92278412180533,0.05464926590538336,307.12850069999695,0.27267584830985353,0.0,0.004975124378109453,2.904982328414917,0.0,76.43718592964824,0.9704433497536946,127.03641390800476,0.9961663990053359
1,5,76.73134328358209,21.29425287356322,0.05134099616858238,305.75075697898865,0.2775170088560077,40.515527950310556,0.3230174081237911,2.907315492630005,0.528017967841044,76.43718592964824,0.9704433497536946,126.48159837722778,0.9961663990053359
2,1,76.73134328358209,39.84789644012945,0.3783783783783784,350.0873565673828,0.5193170708983997,52.07102272727273,0.4476439790575916,2.84724760055542,0.678614768085445,76.695,0.9950248756218906,70.49929904937744,0.9995263567399337
2,2,76.73134328358209,38.102777777777774,0.34532374100719426,345.5850944519043,0.4965738399360262,51.889487870619945,0.44080604534005036,2.924863338470459,0.6762489179792912,76.695,0.9950248756218906,68.36263728141785,0.9995263567399337
2,3,76.73134328358209,39.42,0.4227129337539432,352.5246374607086,0.5137405174090643,51.716814159292035,0.4634146341463415,2.811589479446411,0.673998550607385,76.695,0.9950248756218906,69.17727828025818,0.9995263567399337
2,4,76.73134328358209,45.559322033898304,0.5555555555555556,357.30648970603943,0.5937511332953095,51.30594900849859,0.450261780104712,2.9015004634857178,0.6686439571230121,76.695,0.9950248756218906,68.865149974823,0.9995263567399337
2,5,76.73134328358209,39.40944881889764,0.4841628959276018,349.1733388900757,0.5136030093106675,51.848314606741575,0.46194225721784776,2.8795175552368164,0.6757123280785228,76.695,0.9950248756218906,68.87477374076843,0.9995263567399337
