epsilon,run_number,original_density,baseline2_density,baseline2_similarity,baseline2_time,ratio_baseline2,baseline3_density,baseline3_similarity,baseline3_time,ratio_baseline3,our_density,our_similarity,our_time,ratio_our
1,1,11.929487179487179,4.256496541409609,0.07087628865979381,308.40455651283264,0.35680465365926867,0.0,0.0,1.5886015892028809,0.0,3.06476897689769,0.08071748878923767,745.930193901062,0.25690701794521204
1,2,11.929487179487179,4.196645459803355,0.07081992046960803,310.2999458312988,0.3517875828744349,0.0,0.0,7.2970640659332275,0.0,3.06476897689769,0.08071748878923767,749.3983142375946,0.25690701794521204
1,3,11.929487179487179,4.341176470588235,0.0676269102406464,304.0670964717865,0.3639030249391535,0.0,0.002136752136752137,1.6321022510528564,0.0,3.06476897689769,0.08071748878923767,762.819188117981,0.25690701794521204
1,4,11.929487179487179,4.65823984831727,0.0673680904522613,304.3771870136261,0.39048114795136707,0.16666666666666666,0.010395010395010396,1.559213638305664,0.013970983342289092,3.06476897689769,0.08071748878923767,750.2173690795898,0.25690701794521204
1,5,11.929487179487179,4.4387806096951525,0.06799801947516092,306.50916028022766,0.3720847797487608,0.0,0.0021231422505307855,1.6108582019805908,0.0,3.06476897689769,0.08071748878923767,753.0391438007355,0.25690701794521204
2,1,11.929487179487179,4.495443740095087,0.07924085306202308,333.51485800743103,0.37683461765439746,0.25,0.008547008547008548,1.6143009662628174,0.02095647501343364,4.340468497576737,0.11939163498098859,398.7220754623413,0.3638436784642509
2,2,11.929487179487179,4.912275622466705,0.06666666666666667,328.63855171203613,0.41177592536529073,0.25,0.006396588486140725,1.5994148254394531,0.02095647501343364,4.340468497576737,0.11939163498098859,399.82071018218994,0.3638436784642509
2,3,11.929487179487179,3.6908698777857656,0.1002031144211239,328.3120014667511,0.3093904894866091,0.0,0.002136752136752137,1.5914957523345947,0.0,4.340468497576737,0.11939163498098859,391.70976543426514,0.3638436784642509
2,4,11.929487179487179,4.057569818716315,0.0805034433626217,318.6890001296997,0.3401294420847637,0.0,0.004273504273504274,1.6230969429016113,0.0,4.340468497576737,0.11939163498098859,394.39434576034546,0.3638436784642509
2,5,11.929487179487179,3.5762592462134553,0.08998022412656559,320.00141978263855,0.29978315013933315,0.8333333333333334,0.010660980810234541,1.5738811492919922,0.06985491671144546,4.340468497576737,0.11939163498098859,390.01540350914,0.3638436784642509
