epsilon,run_number,original_density,baseline2_density,baseline2_similarity,baseline2_time,ratio_baseline2,baseline3_density,baseline3_similarity,baseline3_time,ratio_baseline3,our_density,our_similarity,our_time,ratio_our
1,1,39.01567398119122,14.467630700778644,0.10244845360824742,1951.1575870513916,0.37081585999906697,0.0,0.001567398119122257,7.433405160903931,0.0,15.992651561543171,0.1358743089903986,1995.424975156784,0.409903249890107
1,2,39.01567398119122,16.11319748212952,0.06761224272155274,1968.938908815384,0.4129929291980811,22.410852713178294,0.3057324840764331,7.251976728439331,0.5744063968748092,15.992651561543171,0.1358743089903986,2043.6856384277344,0.409903249890107
1,3,39.01567398119122,15.163737749239608,0.08939847125290794,1964.5662422180176,0.38865758814136553,23.232432432432432,0.3263157894736842,7.09327507019043,0.5954640805034506,15.992651561543171,0.1358743089903986,2011.4162168502808,0.409903249890107
1,4,39.01567398119122,15.75421052631579,0.07883708748035621,1938.5600740909576,0.40379183335165814,23.834710743801654,0.33288948069241014,7.417948484420776,0.6109009101135087,15.992651561543171,0.1358743089903986,2003.96240067482,0.409903249890107
1,5,39.01567398119122,16.128909551986474,0.06741335587489433,1956.3965845108032,0.4133956409355364,0.0,0.001567398119122257,7.235100746154785,0.0,15.992651561543171,0.1358743089903986,1986.863923072815,0.409903249890107
2,1,39.01567398119122,19.485254691689008,0.21919142717973697,2123.6053297519684,0.4994211993129354,31.346534653465348,0.5078787878787879,6.885872840881348,0.8034344009686202,24.517687661777394,0.24936601859678784,1029.8005588054657,0.6284061034956604
2,2,39.01567398119122,17.843147751605997,0.14084507042253522,2096.1860959529877,0.45733280835307033,31.378068739770868,0.5231707317073171,6.9728944301605225,0.8042426424543554,24.517687661777394,0.24936601859678784,1062.113130569458,0.6284061034956604
2,3,39.01567398119122,20.938144329896907,0.29052969502407705,2127.0164937973022,0.5366598136941277,31.00489396411093,0.5090470446320868,6.88261866569519,0.7946779025029236,24.517687661777394,0.24936601859678784,1062.1327922344208,0.6284061034956604
2,4,39.01567398119122,18.982948086396362,0.1787769784172662,2075.443170785904,0.4865467169821983,30.844112769485903,0.4951807228915663,6.828925371170044,0.7905569639615944,24.517687661777394,0.24936601859678784,1042.505984544754,0.6284061034956604
2,5,39.01567398119122,18.680583842498304,0.16971279373368145,2056.7679839134216,0.47879690227839944,31.016366612111295,0.5194647201946472,6.798938512802124,0.7949719547857548,24.517687661777394,0.24936601859678784,1020.221631526947,0.6284061034956604
