Epsilon,LDP Density,S Similarity,T Similarity,LDP Runtime,Baseline Density,Baseline Runtime
1,0.11293219239219764,0.015717092337917484,0.013658536585365854,13.597054958343506,3.834824944236852,1.8400211334228516
2,0.13975989178746065,0.016314779270633396,0.009970089730807577,17.699762105941772,3.834824944236852,1.8400211334228516
3,0.18376295673777296,0.018234165067178502,0.015473887814313346,24.714184284210205,3.834824944236852,1.8400211334228516
4,0.1983941529129166,0.0186219739292365,0.01317027281279398,38.788330078125,3.834824944236852,1.8400211334228516
5,0.23523499967462358,0.024975024975024976,0.017137096774193547,45.24815511703491,3.834824944236852,1.8400211334228516
6,0.28035853991338067,0.028156996587030716,0.017006802721088437,96.18965005874634,3.834824944236852,1.8400211334228516
7,1.8888888888888888,0.3684210526315789,0.3103448275862069,104.22489595413208,3.834824944236852,1.8400211334228516
8,1.9333333333333333,0.4883720930232558,0.25,85.53574109077454,3.834824944236852,1.8400211334228516
9,2.3043478260869565,0.5405405405405406,0.30303030303030304,16.43191909790039,3.834824944236852,1.8400211334228516
10,2.466666666666667,0.5609756097560976,0.3157894736842105,4.811361074447632,3.834824944236852,1.8400211334228516
