Epsilon,LDP Density,S Similarity,T Similarity,LDP Runtime,Baseline Density,Baseline Runtime
1.0,9.919156993514319,0.3288590604026846,0.3067484662576687,6.096229076385498,21.23461688674705,3.3696279525756836
1.5,14.321482998748653,0.5106382978723404,0.48623853211009177,6.2821149826049805,21.23461688674705,3.3696279525756836
2.0,20.210687653438132,0.8392857142857143,0.7464788732394366,5.973714113235474,21.23461688674705,3.3696279525756836
2.5,20.367014348642567,0.8793103448275862,0.7837837837837838,5.841576814651489,21.23461688674705,3.3696279525756836
3.0,20.85943588819627,0.8888888888888888,0.8382352941176471,5.724178791046143,21.23461688674705,3.3696279525756836
3.5,20.909636465219428,0.8793103448275862,0.84,5.632400274276733,21.23461688674705,3.3696279525756836
4.0,21.04336720815151,0.9107142857142857,0.9014084507042254,5.681666135787964,21.23461688674705,3.3696279525756836
4.5,21.067458745750848,0.9285714285714286,0.8767123287671232,5.582902908325195,21.23461688674705,3.3696279525756836
5.0,21.170244960998527,0.9807692307692307,0.9242424242424242,5.279782056808472,21.23461688674705,3.3696279525756836
5.5,21.198021222081444,0.9807692307692307,0.9384615384615385,4.474053859710693,21.23461688674705,3.3696279525756836
6.0,21.240812444201854,0.9807692307692307,0.984375,3.948276996612549,21.23461688674705,3.3696279525756836
