Epsilon,Run,Density,S Similarity,T Similarity,Runtime
1,1,9.919156993514319,0.3288590604026846,0.3067484662576687,5.914573907852173
1,2,9.919156993514319,0.3288590604026846,0.3067484662576687,5.740747928619385
1,3,9.919156993514319,0.3288590604026846,0.3067484662576687,5.73265814781189
1,4,9.919156993514319,0.3288590604026846,0.3067484662576687,5.768124103546143
1,5,9.919156993514319,0.3288590604026846,0.3067484662576687,5.787705659866333
2,1,20.210687653438132,0.8392857142857143,0.7464788732394366,5.524479866027832
2,2,20.210687653438132,0.8392857142857143,0.7464788732394366,5.669535160064697
2,3,20.210687653438132,0.8392857142857143,0.7464788732394366,5.547571897506714
2,4,20.210687653438132,0.8392857142857143,0.7464788732394366,5.547210931777954
2,5,20.210687653438132,0.8392857142857143,0.7464788732394366,5.594830751419067
4,1,21.04336720815151,0.9107142857142857,0.9014084507042254,5.4248669147491455
4,2,21.04336720815151,0.9107142857142857,0.9014084507042254,5.374004125595093
4,3,21.04336720815151,0.9107142857142857,0.9014084507042254,5.376060962677002
4,4,21.04336720815151,0.9107142857142857,0.9014084507042254,5.500690221786499
4,5,21.04336720815151,0.9107142857142857,0.9014084507042254,5.386541843414307
8,1,21.27327711013338,1.0,0.9130434782608695,2.226682186126709
8,2,21.27327711013338,1.0,0.9130434782608695,2.269416093826294
8,3,21.27327711013338,1.0,0.9130434782608695,2.231137990951538
8,4,21.27327711013338,1.0,0.9130434782608695,2.249439001083374
8,5,21.27327711013338,1.0,0.9130434782608695,2.2332260608673096
