Epsilon,LDP Density,S Similarity,T Similarity,LDP Runtime,Baseline Density,Baseline Runtime
1.0,5.1496224075315835,0.03811434302908726,0.03774856757667678,338.13358187675476,30.38024345069779,16980.53905439377
1.5,5.848119396354948,0.04201124710552431,0.041263700838168924,407.967591047287,30.38024345069779,16980.53905439377
2.0,6.419546457813083,0.04659738518270198,0.04322949777495232,494.86163806915283,30.38024345069779,16980.53905439377
2.5,6.900683821247367,0.05032301938116287,0.04665995300436388,632.7173557281494,30.38024345069779,16980.53905439377
3.0,22.441860465116278,0.48677248677248675,0.4945054945054945,857.3002293109894,30.38024345069779,16980.53905439377
3.5,23.243334496180392,0.5374449339207048,0.509090909090909,1084.496866941452,30.38024345069779,16980.53905439377
4.0,25.25170068027211,0.5904255319148937,0.5760869565217391,1574.5535147190094,30.38024345069779,16980.53905439377
4.5,26.2319587628866,0.6093023255813953,0.5971563981042654,2194.804281234741,30.38024345069779,16980.53905439377
5.0,27.03125,0.6862745098039216,0.6341463414634146,2753.534588575363,30.38024345069779,16980.53905439377
5.5,27.151724137931033,0.6875,0.6842105263157895,4398.543234348297,30.38024345069779,16980.53905439377
6.0,27.444444444444443,0.7272727272727273,0.6881720430107527,5193.971144199371,30.38024345069779,16980.53905439377
