Epsilon,LDP Density,S Similarity,T Similarity,LDP Runtime,Baseline Density,Baseline Runtime
1,0.061313868613138686,0.008583690987124463,0.007215007215007215,715.721363067627,2.852798895551795,1.1253540515899658
2,0.057462255681668795,0.009345794392523364,0.006309148264984227,678.8343410491943,2.852798895551795,1.1253540515899658
3,0.06368330464716007,0.00333889816360601,0.005076142131979695,658.2043678760529,2.852798895551795,1.1253540515899658
4,0.11186160599596995,0.011299435028248588,0.00946969696969697,682.175623178482,2.852798895551795,1.1253540515899658
5,0.17800092750261973,0.024271844660194174,0.01694915254237288,658.2417430877686,2.852798895551795,1.1253540515899658
6,0.3140306547196057,0.0379746835443038,0.02564102564102564,645.0031998157501,2.852798895551795,1.1253540515899658
7,1.778587321169538,0.39473684210526316,0.3333333333333333,384.2766799926758,2.852798895551795,1.1253540515899658
8,2.6870057685088806,0.8,0.7222222222222222,99.27265191078186,2.852798895551795,1.1253540515899658
9,2.857738033247041,0.9523809523809523,0.9285714285714286,16.566800832748413,2.852798895551795,1.1253540515899658
10,2.8149445897705094,0.8695652173913043,0.8125,3.692577838897705,2.852798895551795,1.1253540515899658
