Epsilon,Avg LDP Density,Avg S Similarity,Avg T Similarity,Avg LDP Runtime,Baseline Density,Baseline Runtime
0.1,0.627698875866725,0.0031282586027111575,0.010341261633919338,1515.5150909423828,6.244997998398398,212.6206169128418
1.0,0.9439213539670999,0.008849557522123894,0.01088139281828074,1417.08065700531,6.244997998398398,212.6206169128418
2.0,0.9987523388778446,0.012453300124533,0.013447432762836185,1445.999140739441,6.244997998398398,212.6206169128418
3.0,1.115642255022636,0.013580246913580247,0.019300361881785282,1394.163913011551,6.244997998398398,212.6206169128418
4.0,1.2549511421464559,0.017937219730941704,0.021367521367521368,1348.684427022934,6.244997998398398,212.6206169128418
5.0,1.54843449638366,0.019490254872563718,0.02861035422343324,1385.390635728836,6.244997998398398,212.6206169128418
6.0,6.037604054746676,1.0,0.8275862068965517,1359.9721491336823,6.244997998398398,212.6206169128418
7.0,6.28970902033151,1.0,0.9642857142857143,1172.8198001384735,6.244997998398398,212.6206169128418
8.0,6.244997998398398,1.0,1.0,740.0218760967255,6.244997998398398,212.6206169128418
9.0,6.244997998398398,1.0,1.0,449.80917477607727,6.244997998398398,212.6206169128418
10.0,6.244997998398398,1.0,1.0,308.0390319824219,6.244997998398398,212.6206169128418
