Epsilon,Run,Density,S Similarity,T Similarity,Runtime
1,1,23.3997733997851,0.782608695652174,0.7792207792207793,0.16878294944763184
1,2,23.3997733997851,0.782608695652174,0.7792207792207793,0.13122010231018066
1,3,23.3997733997851,0.782608695652174,0.7792207792207793,0.16654515266418457
1,4,23.3997733997851,0.782608695652174,0.7792207792207793,0.1390550136566162
1,5,23.3997733997851,0.782608695652174,0.7792207792207793,0.13109588623046875
2,1,24.907397430267665,0.875,0.8666666666666667,0.12558698654174805
2,2,24.907397430267665,0.875,0.8666666666666667,0.12659502029418945
2,3,24.907397430267665,0.875,0.8666666666666667,0.12882089614868164
2,4,24.907397430267665,0.875,0.8666666666666667,0.13065290451049805
2,5,24.907397430267665,0.875,0.8666666666666667,0.12866616249084473
4,1,25.28110808943129,0.967741935483871,0.9066666666666666,0.1225118637084961
4,2,25.28110808943129,0.967741935483871,0.9066666666666666,0.12091898918151855
4,3,25.28110808943129,0.967741935483871,0.9066666666666666,0.12446212768554688
4,4,25.28110808943129,0.967741935483871,0.9066666666666666,0.11986827850341797
4,5,25.28110808943129,0.967741935483871,0.9066666666666666,0.12012696266174316
8,1,25.41620998429945,0.9508196721311475,0.9459459459459459,0.1069941520690918
8,2,25.41620998429945,0.9508196721311475,0.9459459459459459,0.10605382919311523
8,3,25.41620998429945,0.9508196721311475,0.9459459459459459,0.1074681282043457
8,4,25.41620998429945,0.9508196721311475,0.9459459459459459,0.10533404350280762
8,5,25.41620998429945,0.9508196721311475,0.9459459459459459,0.10842680931091309
