Epsilon,Avg LDP Density,Avg S Similarity,Avg T Similarity,Avg LDP Runtime,Baseline Density,Baseline Runtime
0.1,5.303759999271284,0.20930232558139536,0.2653061224489796,0.051280641555786134,20.75768052584412,0.06781578063964844
0.25,10.096774193548388,0.4523809523809524,0.3584905660377358,0.04199771881103516,20.75768052584412,0.06781578063964844
0.5,14.154423948834054,0.5333333333333333,0.5471698113207547,0.04159712791442871,20.75768052584412,0.06781578063964844
0.75,16.559436346889857,0.6410256410256411,0.6,0.04136495590209961,20.75768052584412,0.06781578063964844
1.0,17.918889735042438,0.675,0.7,0.040103912353515625,20.75768052584412,0.06781578063964844
1.25,18.431561219267127,0.6666666666666666,0.7647058823529411,0.03947062492370605,20.75768052584412,0.06781578063964844
1.5,19.54496979163294,0.7567567567567568,0.8085106382978722,0.03956317901611328,20.75768052584412,0.06781578063964844
1.75,20.06922480703178,0.8529411764705882,0.8666666666666668,0.03913803100585937,20.75768052584412,0.06781578063964844
2.0,20.375703203711808,0.8285714285714286,0.8695652173913043,0.03897008895874023,20.75768052584412,0.06781578063964844
2.25,20.635745494041682,0.909090909090909,0.8913043478260869,0.03967528343200684,20.75768052584412,0.06781578063964844
2.5,20.721119896921806,0.9375,0.8913043478260869,0.0433598518371582,20.75768052584412,0.06781578063964844
