Epsilon,LDP Density,S Similarity,T Similarity,LDP Runtime,Baseline Density,Baseline Runtime
1,0.10038256467795881,0.008368200836820083,0.017085427135678392,14.65012812614441,3.281995309666009,1.2143609523773193
2,0.09770478934144959,0.011827956989247311,0.013157894736842105,17.41952896118164,3.281995309666009,1.2143609523773193
3,0.12455245330840224,0.011178861788617886,0.01641025641025641,28.08595037460327,3.281995309666009,1.2143609523773193
4,0.1424231970156346,0.014760147601476014,0.022946859903381644,53.382817029953,3.281995309666009,1.2143609523773193
5,0.21174681131316678,0.01871657754010695,0.028205128205128206,65.05953216552734,3.281995309666009,1.2143609523773193
6,0.2251342713711579,0.021551724137931036,0.03806734992679356,168.722021818161,3.281995309666009,1.2143609523773193
7,1.979653590929729,0.5,0.40540540540540543,176.50199007987976,3.281995309666009,1.2143609523773193
8,3.230291412348993,0.8823529411764706,0.8846153846153846,70.62913203239441,3.281995309666009,1.2143609523773193
9,3.2478764290996813,0.8235294117647058,0.8461538461538461,10.189733982086182,3.281995309666009,1.2143609523773193
10,3.1754264805429413,0.8823529411764706,0.7692307692307693,2.534029960632324,3.281995309666009,1.2143609523773193
