Epsilon,Run,Density,S Similarity,T Similarity,Runtime
1,1,5.666666666666667,0.5757575757575758,0.4358974358974359,0.025321006774902344
1,2,5.666666666666667,0.5757575757575758,0.4358974358974359,0.023036956787109375
1,3,5.666666666666667,0.5757575757575758,0.4358974358974359,0.02308201789855957
1,4,5.666666666666667,0.5757575757575758,0.4358974358974359,0.022942066192626953
1,5,5.666666666666667,0.5757575757575758,0.4358974358974359,0.022978782653808594
2,1,6.880975663883468,0.7307692307692307,0.6451612903225806,0.022415876388549805
2,2,6.880975663883468,0.7307692307692307,0.6451612903225806,0.02244710922241211
2,3,6.880975663883468,0.7307692307692307,0.6451612903225806,0.022406816482543945
2,4,6.880975663883468,0.7307692307692307,0.6451612903225806,0.02377486228942871
2,5,6.880975663883468,0.7307692307692307,0.6451612903225806,0.023581266403198242
4,1,7.874122909518425,0.875,0.8518518518518519,0.0216829776763916
4,2,7.874122909518425,0.875,0.8518518518518519,0.021641016006469727
4,3,7.874122909518425,0.875,0.8518518518518519,0.021583080291748047
4,4,7.874122909518425,0.875,0.8518518518518519,0.021028757095336914
4,5,7.874122909518425,0.875,0.8518518518518519,0.02072000503540039
8,1,7.976351854422373,0.875,0.896551724137931,0.017873287200927734
8,2,7.976351854422373,0.875,0.896551724137931,0.017907142639160156
8,3,7.976351854422373,0.875,0.896551724137931,0.018384695053100586
8,4,7.976351854422373,0.875,0.896551724137931,0.019083023071289062
8,5,7.976351854422373,0.875,0.896551724137931,0.018961191177368164
