Epsilon,Avg LDP Density,Avg S Similarity,Avg T Similarity,Avg LDP Runtime,Baseline Density,Baseline Runtime
0.1,3.212477479491548,0.11219512195121953,0.17560975609756097,5.992842531204223,21.23461688674705,2.941718101501465
0.3,4.526668009744061,0.14673913043478262,0.19786096256684493,5.84826283454895,21.23461688674705,2.941718101501465
0.6,7.866788068653859,0.2328042328042328,0.24615384615384617,6.113078832626343,21.23461688674705,2.941718101501465
0.9,9.583709344415192,0.32857142857142857,0.3092105263157895,6.032085943222046,21.23461688674705,2.941718101501465
1.2,11.40593461541237,0.3669064748201439,0.36363636363636365,5.794158792495727,21.23461688674705,2.941718101501465
1.5,14.321482998748653,0.5106382978723404,0.4862385321100918,5.906239080429077,21.23461688674705,2.941718101501465
1.8,19.92589637014722,0.7931034482758621,0.7222222222222222,5.802862548828125,21.23461688674705,2.941718101501465
2.1,20.299462928346315,0.8275862068965518,0.8142857142857143,5.681290054321289,21.23461688674705,2.941718101501465
2.4,20.390715316759767,0.8727272727272727,0.7428571428571429,5.76433162689209,21.23461688674705,2.941718101501465
2.7,20.497976419919816,0.8474576271186439,0.7763157894736842,5.634884262084961,21.23461688674705,2.941718101501465
3.0,20.85943588819627,0.888888888888889,0.8382352941176471,5.576901388168335,21.23461688674705,2.941718101501465
