Epsilon,Avg LDP Density,Avg S Similarity,Avg T Similarity,Avg LDP Runtime,Baseline Density,Baseline Runtime
0.1,11.747569571429638,0.4444444444444445,0.44827586206896547,0.13669099807739257,25.40056371173714,0.20691728591918945
0.25,15.709975537382444,0.5789473684210527,0.5232558139534884,0.18201465606689454,25.40056371173714,0.20691728591918945
0.5,19.698153994446095,0.6794871794871795,0.5909090909090909,0.13532438278198242,25.40056371173714,0.20691728591918945
0.75,20.78968389409673,0.6714285714285714,0.6708860759493671,0.1328138828277588,25.40056371173714,0.20691728591918945
1.0,23.3997733997851,0.782608695652174,0.7792207792207793,0.1332453727722168,25.40056371173714,0.20691728591918945
1.25,23.137931034482758,0.803030303030303,0.7012987012987013,0.18520240783691405,25.40056371173714,0.20691728591918945
1.5,23.963316653795143,0.8307692307692308,0.7763157894736842,0.14815926551818848,25.40056371173714,0.20691728591918945
1.75,24.83498169496957,0.84375,0.8266666666666665,0.13143129348754884,25.40056371173714,0.20691728591918945
2.0,24.907397430267665,0.875,0.8666666666666668,0.13017983436584474,25.40056371173714,0.20691728591918945
2.25,25.066861410707293,0.90625,0.881578947368421,0.15761098861694336,25.40056371173714,0.20691728591918945
2.5,25.083608376805927,0.9047619047619048,0.8571428571428571,0.12937140464782715,25.40056371173714,0.20691728591918945
