Epsilon,LDP Density,S Similarity,T Similarity,LDP Runtime,Baseline Density,Baseline Runtime
1,0.02749286996141075,0.013422818791946308,0.013605442176870748,12.320201873779297,2.9068883707497264,0.032366037368774414
2,0.08201933554687377,0.0125,0.012345679012345678,11.159149169921875,2.9068883707497264,0.032366037368774414
3,0.10448925095464313,0.014492753623188406,0.022388059701492536,10.885670900344849,2.9068883707497264,0.032366037368774414
4,0.17490620730991835,0.022727272727272728,0.03007518796992481,10.744229078292847,2.9068883707497264,0.032366037368774414
5,0.38007602280760266,0.0784313725490196,0.08,9.23711109161377,2.9068883707497264,0.032366037368774414
6,2.6832815729997477,1.0,0.6666666666666666,3.20232892036438,2.9068883707497264,0.032366037368774414
7,2.8577380332470415,1.0,0.8333333333333334,0.5855100154876709,2.9068883707497264,0.032366037368774414
8,2.8284271247461903,0.75,0.8333333333333334,0.12085795402526855,2.9068883707497264,0.032366037368774414
9,2.9068883707497264,1.0,1.0,0.0652000904083252,2.9068883707497264,0.032366037368774414
10,2.9068883707497264,1.0,1.0,0.05192685127258301,2.9068883707497264,0.032366037368774414
