Epsilon,Avg LDP Density,Avg S Similarity,Avg T Similarity,Avg LDP Runtime,Baseline Density,Baseline Runtime
0.1,3.1277162108561214,0.2702702702702703,0.3611111111111111,0.024352169036865233,7.944299095067362,0.029720783233642578
0.3,4.305007344394911,0.4,0.3488372093023256,0.02422647476196289,7.944299095067362,0.029720783233642578
0.6,5.440156975482285,0.5714285714285714,0.425,0.02331070899963379,7.944299095067362,0.029720783233642578
0.9,5.273599014036482,0.6333333333333333,0.38461538461538464,0.02834486961364746,7.944299095067362,0.029720783233642578
1.2,5.909136025092827,0.5588235294117647,0.475,0.028442907333374023,7.944299095067362,0.029720783233642578
1.5,5.832645462088344,0.5806451612903226,0.43589743589743596,0.02855057716369629,7.944299095067362,0.029720783233642578
1.8,6.770117483525728,0.6896551724137931,0.5675675675675675,0.0272918701171875,7.944299095067362,0.029720783233642578
2.1,7.125702844326378,0.7692307692307693,0.6774193548387096,0.04683585166931152,7.944299095067362,0.029720783233642578
2.4,7.201778436485069,0.6923076923076923,0.75,0.036381196975708005,7.944299095067362,0.029720783233642578
2.7,7.570082816333904,0.8076923076923077,0.7333333333333333,0.029042434692382813,7.944299095067362,0.029720783233642578
3.0,7.726183421095454,0.7777777777777778,0.7857142857142857,0.023978757858276366,7.944299095067362,0.029720783233642578
