Epsilon,Avg LDP Density,Avg S Similarity,Avg T Similarity,Avg LDP Runtime,Baseline Density,Baseline Runtime
0.1,0.627698875866725,0.003128258602711158,0.010341261633919338,2268.543453502655,6.244997998398398,319.4019856452942
0.8,0.878621332787095,0.008879023307436182,0.012008733624454149,2165.010289144516,6.244997998398398,319.4019856452942
1.6,0.8621417198386345,0.008706467661691543,0.009708737864077669,2120.228276014328,6.244997998398398,319.4019856452942
2.4,1.017475941281731,0.011597938144329897,0.016518424396442185,2050.368547296524,6.244997998398398,319.4019856452942
3.2,1.1300832959899796,0.012121212121212121,0.019002375296912115,2014.2791707515717,6.244997998398398,319.4019856452942
4.0,1.2549511421464559,0.017937219730941704,0.021367521367521368,1972.2468060016631,6.244997998398398,319.4019856452942
4.8,1.4669684064517023,0.02021772939346812,0.030303030303030304,1977.8098771095276,6.244997998398398,319.4019856452942
5.6,5.517557332192131,0.7647058823529411,0.5142857142857142,1956.486662864685,6.244997998398398,319.4019856452942
6.4,6.334822292282638,1.0,0.9310344827586207,1926.0008251667023,6.244997998398398,319.4019856452942
7.2,6.28970902033151,1.0,0.9642857142857142,1599.622748184204,6.244997998398398,319.4019856452942
8.0,6.244997998398398,1.0,1.0,1077.9312896728516,6.244997998398398,319.4019856452942
