Epsilon,Run,Initial Density,LDP Density,Baseline Density
1,1,7.081534772182255,9.919156993514319,21.23461688674705
1,2,7.081534772182255,9.919156993514319,21.23461688674705
1,3,7.081534772182255,9.919156993514319,21.23461688674705
1,4,7.081534772182255,9.919156993514319,21.23461688674705
1,5,7.081534772182255,9.919156993514319,21.23461688674705
2,1,7.081534772182255,20.210687653438132,21.23461688674705
2,2,7.081534772182255,20.210687653438132,21.23461688674705
2,3,7.081534772182255,20.210687653438132,21.23461688674705
2,4,7.081534772182255,20.210687653438132,21.23461688674705
2,5,7.081534772182255,20.210687653438132,21.23461688674705
