Epsilon,Run,Initial Density,LDP Density,Baseline Density
1,1,5.786885245901639,5.666666666666667,7.944299095067362
1,2,5.786885245901639,5.666666666666667,7.944299095067362
1,3,5.786885245901639,5.666666666666667,7.944299095067362
1,4,5.786885245901639,5.666666666666667,7.944299095067362
1,5,5.786885245901639,5.666666666666667,7.944299095067362
2,1,5.786885245901639,6.880975663883468,7.944299095067362
2,2,5.786885245901639,6.880975663883468,7.944299095067362
2,3,5.786885245901639,6.880975663883468,7.944299095067362
2,4,5.786885245901639,6.880975663883468,7.944299095067362
2,5,5.786885245901639,6.880975663883468,7.944299095067362
