Epsilon,Run,Initial Density,LDP Density,Baseline Density
1,1,0.4095,0.1387059383458279,6.386042472575521
1,2,0.4095,0.1387059383458279,6.386042472575521
1,3,0.4095,0.1387059383458279,6.386042472575521
1,4,0.4095,0.1387059383458279,6.386042472575521
1,5,0.4095,0.1387059383458279,6.386042472575521
2,1,0.4095,0.23548394754291946,6.386042472575521
2,2,0.4095,0.23548394754291946,6.386042472575521
2,3,0.4095,0.23548394754291946,6.386042472575521
2,4,0.4095,0.23548394754291946,6.386042472575521
2,5,0.4095,0.23548394754291946,6.386042472575521
