Epsilon,Run,Initial Density,LDP Density,Baseline Density
1,1,1.3959757023538344,0.9439213539670999,6.244997998398398
1,2,1.3959757023538344,0.9439213539670999,6.244997998398398
1,3,1.3959757023538344,0.9439213539670999,6.244997998398398
1,4,1.3959757023538344,0.9439213539670999,6.244997998398398
1,5,1.3959757023538344,0.9439213539670999,6.244997998398398
2,1,1.3959757023538344,0.9987523388778446,6.244997998398398
2,2,1.3959757023538344,0.9987523388778446,6.244997998398398
2,3,1.3959757023538344,0.9987523388778446,6.244997998398398
2,4,1.3959757023538344,0.9987523388778446,6.244997998398398
2,5,1.3959757023538344,0.9987523388778446,6.244997998398398
