Epsilon,Run,Initial Density,LDP Density,Baseline Density
1,1,6.052031967352491,5.008617136815426,30.38024345069779
1,2,6.052031967352491,5.008617136815426,30.38024345069779
1,3,6.052031967352491,5.008617136815426,30.38024345069779
1,4,6.052031967352491,5.008617136815426,30.38024345069779
1,5,6.052031967352491,5.008617136815426,30.38024345069779
2,1,6.052031967352491,7.056356729965246,30.38024345069779
2,2,6.052031967352491,7.056356729965246,30.38024345069779
2,3,6.052031967352491,7.056356729965246,30.38024345069779
2,4,6.052031967352491,7.056356729965246,30.38024345069779
2,5,6.052031967352491,7.056356729965246,30.38024345069779
